Student_ID,Age,Gender,High_School_GPA,SAT_Score,University_Ranking,University_GPA,Field_of_Study,Starting_Salary,Current_Job_Level,Entrepreneurship,
S00001,24,Male,3.58,1052,291,3.96,Arts,27200,Entry,No,
S00002,21,Other,2.52,1211,112,3.63,Law,25000,Mid,No,
S00003,28,Female,3.42,1193,715,2.63,Medicine,42400,Entry,No,
S00004,25,Male,2.43,1497,170,2.81,Computer Science,57400,Mid,No,
S00005,22,Male,2.08,1012,599,2.48,Engineering,47600,,No,
S00006,24,Male,2.4,1600,631,3.78,Law,68400,Entry,Yes,
S00007,27,Male,2.36,1011,610,3.83,Computer Science,55500,Mid,No,
S00008,20,Male,2.68,1074,240,2.84,Computer Science,38000,Entry,No,
S00009,24,,2.84,1201,337,3.31,Business,68900,Entry,No,
S00010,28,Male,3.02,1415,138,2.33,Computer Science,58900,Senior,No,
S00011,28,Female,2.95,1120,594,2.87,Mathematics,26300,Entry,No,
S00012,25,Female,2.54,1070,236,3.26,Law,35100,Mid,1,
S00013,22,Female,2.06,1217,648,2.77,Engineering,42600,Senior,No,
S00014,21,Male,3.21,1112,794,2.72,Arts,76500,Entry,No,
S00015,25,Male,2.79,1152,3,555,Business,61100,Entry,Yes,
S00016,25,Female,2.6,1023,571,3.61,Computer Science,,Senior,No,
S00017,20,Female,3.73,1539,116,3.78,Law,97500,Mid,No,
S00018,23,Male,3.49,1112,472,3.94,Mathematics,61800,Senior,0,
S00019,22,Female,3.72,1523,131,3.44,Mathematics,32200,Entry,No,
S00020,19,Female,2.99,984,934,3.1,Mathematics,45500,Senior,No,
S00021,25,Female,2.26,1415,898,2.54,Medicine,42200,Entry,No,
S00022,29,Male,3.39,964,483,4,Business,37400,Senior,No,
S00023,23,Female,2.41,1217,401,3.18,Engineering,69500,Senior,1,
S00024,19,Female,2.88,1245,201,3.36,Medicine,48100,Mid,No,
S00025,29,Female,2.13,1531,292,3.36,Engineering,63900,Mid,No,
S00026,22,,3.65,1142,342,3.69,Medicine,48100,Entry,No,
S00027,18,Female,2.25,1036,991,2.02,Arts,44600,Entry,No,
S00028,29,Female,3.81,1146,610,2.44,Engineering,41000,,No,
S00029,27,Male,3.73,space,216,3.33,Medicine,50300,Mid,No,
S00030,23,Female,2.93,944,636,3.79,Mathematics,38300,Executive,0,
S00031,29,Female,3.49,1557,585,3.37,Engineering,49500,Senior,No,
S00032,26,Female,3.24,1587,366,2.83,Business,41500,Entry,No,
S00033,18,Male,3.61,1453,,2.72,Engineering,29800,Mid,cat,
S00034,28,Male,200,988,642,3.48,Law,44600,Entry,No,
S00035,28,Female,3.57,1127,469,3.48,Engineering,25000,9999,Yes,
S00036,27,Female,2.92,1190,418,,Medicine,70300,Entry,No,
S00037,29,Female,3.88,1321,27,2.58,Engineering,57500,Executive,No,
S00038,29,0,2.97,966,677,3.85,Arts,43000,Entry,No,
S00039,20,Female,2.93,1150,,3.1,Computer Science,25000,Entry,Yes,
S00040,29,1,3.57,940,918,3.58,Business,50200,Entry,Yes,
